CountryName,CountryCode,Date,cases_weekly,deaths_weekly,StringencyIndex,StringencyIndexForDisplay
Albania,ALB,2021-01-18T00:00:00Z,4095,36,60.19,60.19
Albania,ALB,2021-01-11T00:00:00Z,4157,48,60.19,60.19
Albania,ALB,2021-01-04T00:00:00Z,2866,29,56.48,56.48
Albania,ALB,2020-12-28T00:00:00Z,3569,76,56.48,56.48
Albania,ALB,2020-12-21T00:00:00Z,4473,85,60.19,60.19
Albania,ALB,2020-12-14T00:00:00Z,5542,98,65.74,65.74
Albania,ALB,2020-12-07T00:00:00Z,5363,107,65.74,65.74
Albania,ALB,2020-11-30T00:00:00Z,4864,99,65.74,65.74
Albania,ALB,2020-11-23T00:00:00Z,4931,76,65.74,65.74
Albania,ALB,2020-11-16T00:00:00Z,3624,64,65.74,65.74
Albania,ALB,2020-11-09T00:00:00Z,3004,41,50.93,50.93
Albania,ALB,2020-11-02T00:00:00Z,2045,41,50.93,50.93
Albania,ALB,2020-10-26T00:00:00Z,2102,26,54.63,54.63
Albania,ALB,2020-10-19T00:00:00Z,1656,31,54.63,54.63
Albania,ALB,2020-10-12T00:00:00Z,1133,24,54.63,54.63
Albania,ALB,2020-10-05T00:00:00Z,1007,19,54.63,54.63
Albania,ALB,2020-09-28T00:00:00Z,874,15,54.63,54.63
Albania,ALB,2020-09-21T00:00:00Z,1032,28,54.63,54.63
Albania,ALB,2020-09-14T00:00:00Z,1098,18,54.63,54.63
Albania,ALB,2020-09-07T00:00:00Z,875,36,54.63,54.63
Albania,ALB,2020-08-31T00:00:00Z,953,30,54.63,54.63
Albania,ALB,2020-08-24T00:00:00Z,1047,22,57.41,57.41
Albania,ALB,2020-08-17T00:00:00Z,969,29,57.41,57.41
Albania,ALB,2020-08-10T00:00:00Z,892,33,57.41,57.41
Albania,ALB,2020-08-03T00:00:00Z,756,28,62.96,62.96
Albania,ALB,2020-07-27T00:00:00Z,673,26,62.96,62.96
Albania,ALB,2020-07-20T00:00:00Z,636,19,62.96,62.96
Albania,ALB,2020-07-13T00:00:00Z,561,17,62.96,62.96
Albania,ALB,2020-07-06T00:00:00Z,491,21,62.96,62.96
Albania,ALB,2020-06-29T00:00:00Z,475,11,68.52,68.52
Albania,ALB,2020-06-22T00:00:00Z,406,8,68.52,68.52
Albania,ALB,2020-06-15T00:00:00Z,275,2,71.3,71.3
Albania,ALB,2020-06-08T00:00:00Z,109,1,71.3,71.3
Albania,ALB,2020-06-01T00:00:00Z,139,1,71.3,71.3
Albania,ALB,2020-05-25T00:00:00Z,52,1,83.33,83.33
Albania,ALB,2020-05-18T00:00:00Z,78,0,83.33,83.33
Albania,ALB,2020-05-11T00:00:00Z,73,0,89.81,89.81
Albania,ALB,2020-05-04T00:00:00Z,69,3,89.81,89.81
Albania,ALB,2020-04-27T00:00:00Z,164,2,89.81,89.81
Albania,ALB,2020-04-20T00:00:00Z,116,3,89.81,89.81
Albania,ALB,2020-04-13T00:00:00Z,85,2,84.26,84.26
Albania,ALB,2020-04-06T00:00:00Z,149,11,84.26,84.26
